initial state:
1 | B 
2 | C E 
3 | A D 

it= 393 , queue= 340 , f=g+h= 10 , depth=  6
it= 394 , queue= 341 , f=g+h= 10 , depth=  6
it= 395 , queue= 343 , f=g+h= 10 , depth=  6
it= 396 , queue= 344 , f=g+h= 10 , depth=  6
it= 397 , queue= 344 , f=g+h= 10 , depth=  6
it= 398 , queue= 343 , f=g+h= 10 , depth=  6
it= 399 , queue= 342 , f=g+h= 10 , depth=  6
it= 400 , queue= 345 , f=g+h= 10 , depth=  6
it= 401 , queue= 346 , f=g+h= 10 , depth=  7
it= 402 , queue= 345 , f=g+h= 10 , depth=  7
it= 403 , queue= 344 , f=g+h= 10 , depth=  7
it= 404 , queue= 343 , f=g+h= 10 , depth=  7
it= 405 , queue= 344 , f=g+h= 10 , depth=  7
it= 406 , queue= 343 , f=g+h= 10 , depth=  7
it= 407 , queue= 344 , f=g+h= 10 , depth=  7
it= 408 , queue= 345 , f=g+h= 10 , depth=  7
it= 409 , queue= 346 , f=g+h= 10 , depth=  7
it= 410 , queue= 347 , f=g+h= 10 , depth=  7
it= 411 , queue= 348 , f=g+h= 10 , depth=  7
it= 412 , queue= 347 , f=g+h= 10 , depth=  7
it= 413 , queue= 346 , f=g+h= 10 , depth=  6
it= 414 , queue= 349 , f=g+h= 10 , depth=  6
it= 415 , queue= 352 , f=g+h= 10 , depth=  6
it= 416 , queue= 355 , f=g+h= 10 , depth=  7
it= 417 , queue= 354 , f=g+h= 10 , depth=  7
it= 418 , queue= 355 , f=g+h= 10 , depth=  7
it= 419 , queue= 356 , f=g+h= 10 , depth=  7
it= 420 , queue= 357 , f=g+h= 10 , depth=  6
it= 421 , queue= 358 , f=g+h= 10 , depth=  6
it= 422 , queue= 361 , f=g+h= 10 , depth=  6
it= 423 , queue= 360 , f=g+h= 10 , depth=  6
it= 424 , queue= 361 , f=g+h= 10 , depth=  6
it= 425 , queue= 360 , f=g+h= 10 , depth=  6
it= 426 , queue= 359 , f=g+h= 10 , depth=  6
it= 427 , queue= 359 , f=g+h= 10 , depth=  6
it= 428 , queue= 358 , f=g+h= 10 , depth=  6
it= 429 , queue= 359 , f=g+h= 10 , depth=  6
it= 430 , queue= 360 , f=g+h= 10 , depth=  6
it= 431 , queue= 362 , f=g+h= 10 , depth=  7
it= 432 , queue= 361 , f=g+h= 10 , depth=  7
it= 433 , queue= 362 , f=g+h= 10 , depth=  8
it= 434 , queue= 361 , f=g+h= 10 , depth=  8
it= 435 , queue= 362 , f=g+h= 10 , depth=  8
